ID;Nombre;Proveedor;LeadTime;Precio
444;Licuadora Plus Silver;Suministros Industriales Alfa;7;41.47
445;Teclado Inalámbrico X1;Suministros Industriales Alfa;7;16.25
446;Mouse Vintage Blanco;Soluciones Tecnológicas Nova;8;34.87
447;Reloj Premium Z3;MegaAbasto Co.;25;283.16
448;Licuadora Plus Z3;Alimentos y Logística del Sur;15;49.94
449;Mochila Ultra V2;Alimentos y Logística del Sur;15;47.92
450;Termo Inalámbrico X1;Alimentos y Logística del Sur;15;27.34
451;Camiseta Portátil Blanco;Alimentos y Logística del Sur;15;19.76
452;Monitor Smart Red;Comercializadora Omega;20;407.74
453;Cafetera Inalámbrico Gold;Suministros Industriales Alfa;7;40.51
454;Silla Basic Gold;Global Imports Corp;5;109.57
455;Mochila Vintage Blanco;Alimentos y Logística del Sur;15;45.57
456;Televisor Basic Azul;Global Imports Corp;5;495.65
457;Teclado Ergonómico X1;Global Imports Corp;5;64.05
458;Teclado Ergonómico Azul;Soluciones Tecnológicas Nova;8;86.26
459;Mouse Pro X1;MegaAbasto Co.;25;24.71
460;Chaqueta Pro Azul;Distribución Express;3;38.09
461;Lámpara Portátil Negro;Comercializadora Omega;20;22.2
462;Mesa Modern Negro;Alimentos y Logística del Sur;15;333.16
463;Auriculares Plus Z3;Soluciones Tecnológicas Nova;8;146.8
464;Televisor Portátil V2;Alimentos y Logística del Sur;15;473.01
465;Teclado Smart Red;Comercializadora Omega;20;62.78
466;Licuadora Portátil Negro;TechDistribuidora S.A.;14;110.77
467;Mouse Smart Azul;Alimentos y Logística del Sur;15;54.05
468;Licuadora Vintage Silver;MegaAbasto Co.;25;36.12
469;Cargador Pro Azul;TechDistribuidora S.A.;14;23.34
470;Gorra Max Negro;Global Imports Corp;5;25.39
471;Zapatillas Portátil X1;Global Imports Corp;5;132.92
472;Camiseta Max Silver;Alimentos y Logística del Sur;15;19.65
473;Zapatillas Advanced Negro;Distribución Express;3;57.44
474;Termo Ergonómico Z3;Global Imports Corp;5;28.6
475;Gorra Ergonómico Gris;MegaAbasto Co.;25;23.72
476;Camiseta Ultra Gold;Global Imports Corp;5;40.65
477;Termo Basic Gris;MegaAbasto Co.;25;13.75
478;Chaqueta Eco X1;TechDistribuidora S.A.;14;138.43
479;Lámpara Eco Negro;Distribución Express;3;41.08
480;Laptop Premium Silver;Distribución Express;3;1077.29
481;Televisor Vintage Blanco;Textiles del Norte;10;701.46
482;Cafetera Plus Gris;Distribución Express;3;119.39
483;Laptop Basic Gold;MegaAbasto Co.;25;922.04
484;Cafetera Smart Negro;Hogar y Confort Ltda.;12;38.9
485;Chaqueta Ultra V2;Distribución Express;3;156.36
486;Licuadora Portátil Negro;MegaAbasto Co.;25;114.04
487;Lámpara Smart Gris;Hogar y Confort Ltda.;12;54.8
488;Televisor Plus Gold;Comercializadora Omega;20;721.32
489;Zapatillas Eco Silver;Soluciones Tecnológicas Nova;8;56.3
490;Auriculares Modern Gris;Textiles del Norte;10;117.53
491;Camiseta Ergonómico Azul;Suministros Industriales Alfa;7;16.9
492;Cargador Inalámbrico Gris;Suministros Industriales Alfa;7;18.53
493;Televisor Max Blanco;TechDistribuidora S.A.;14;822.5
494;Monitor Basic Negro;Suministros Industriales Alfa;7;241.56
495;Zapatillas Ultra Silver;MegaAbasto Co.;25;44.26
496;Mouse Advanced X1;Global Imports Corp;5;63.82
497;Zapatillas Ultra Gold;Soluciones Tecnológicas Nova;8;116.58
498;Lámpara Eco V2;Suministros Industriales Alfa;7;55.83
499;Licuadora Premium Z3;Global Imports Corp;5;47.56
500;Teclado Vintage Silver;Soluciones Tecnológicas Nova;8;50.45
501;Mouse Inalámbrico Negro;MegaAbasto Co.;25;49.98
502;Camiseta Vintage Negro;Alimentos y Logística del Sur;15;27.5
503;Silla Portátil Gris;Hogar y Confort Ltda.;12;187.66
504;Lámpara Plus Gold;Alimentos y Logística del Sur;15;64.92
505;Laptop Vintage Gold;Alimentos y Logística del Sur;15;1871.83
506;Licuadora Advanced Z3;Comercializadora Omega;20;34.77
507;Termo Vintage V2;Alimentos y Logística del Sur;15;33.43
508;Monitor Smart Red;TechDistribuidora S.A.;14;269.77
509;Cafetera Plus Blanco;Suministros Industriales Alfa;7;146.5
510;Auriculares Plus Silver;Global Imports Corp;5;39.17
511;Reloj Portátil Red;Alimentos y Logística del Sur;15;220.17
512;Termo Eco Red;Textiles del Norte;10;14.73
513;Monitor Eco Z3;Textiles del Norte;10;236.88
514;Chaqueta Eco X1;MegaAbasto Co.;25;46.59
515;Silla Pro Gris;Global Imports Corp;5;216.78
516;Gorra Basic Silver;Distribución Express;3;18.31
517;Silla Max Gris;Suministros Industriales Alfa;7;92.09
518;Auriculares Advanced Blanco;Soluciones Tecnológicas Nova;8;108.01
519;Licuadora Basic Gris;Hogar y Confort Ltda.;12;110.34
520;Mochila Smart Z3;Soluciones Tecnológicas Nova;8;32.26
521;Silla Vintage Blanco;Distribución Express;3;213.44
522;Mesa Vintage Negro;MegaAbasto Co.;25;250.36
523;Laptop Pro Negro;MegaAbasto Co.;25;1887.97
524;Monitor Modern Gris;Alimentos y Logística del Sur;15;312.36
525;Licuadora Modern Red;MegaAbasto Co.;25;108.57
526;Licuadora Inalámbrico Azul;Soluciones Tecnológicas Nova;8;80.09
527;Silla Ergonómico Negro;Comercializadora Omega;20;197.72
528;Lámpara Pro V2;Textiles del Norte;10;40.3
529;Teclado Eco Azul;Alimentos y Logística del Sur;15;21.63
530;Auriculares Smart Red;TechDistribuidora S.A.;14;57.63
531;Termo Basic Silver;MegaAbasto Co.;25;26.33
532;Gorra Smart Silver;MegaAbasto Co.;25;26.84
533;Mesa Advanced Blanco;Hogar y Confort Ltda.;12;357.37
534;Cargador Basic Z3;Comercializadora Omega;20;30.12
535;Mesa Portátil Red;TechDistribuidora S.A.;14;269.35
536;Mesa Advanced Silver;Distribución Express;3;340.91
537;Mouse Pro Gris;Alimentos y Logística del Sur;15;11.53
538;Cafetera Advanced Red;TechDistribuidora S.A.;14;94.85
539;Silla Smart Z3;TechDistribuidora S.A.;14;84.96
540;Mochila Portátil Negro;Alimentos y Logística del Sur;15;76.53
541;Reloj Advanced V2;Comercializadora Omega;20;149.96
542;Televisor Eco Azul;Textiles del Norte;10;484.17
543;Licuadora Premium Negro;Comercializadora Omega;20;48.48
544;Termo Ergonómico Negro;Textiles del Norte;10;15.15
545;Gorra Inalámbrico Blanco;Global Imports Corp;5;21.5
546;Laptop Max Red;TechDistribuidora S.A.;14;1186.95
547;Auriculares Basic Azul;Soluciones Tecnológicas Nova;8;71.5
548;Mochila Eco Gold;Textiles del Norte;10;62.94
549;Mochila Vintage Gris;TechDistribuidora S.A.;14;46.82
550;Teclado Max Z3;TechDistribuidora S.A.;14;64.23
551;Licuadora Portátil Gold;TechDistribuidora S.A.;14;113.16
552;Televisor Smart Red;Soluciones Tecnológicas Nova;8;819.61
553;Mouse Basic V2;Textiles del Norte;10;68.22
554;Laptop Smart Blanco;TechDistribuidora S.A.;14;988.4
555;Teclado Advanced Negro;Comercializadora Omega;20;70.68
556;Mouse Advanced X1;Soluciones Tecnológicas Nova;8;18.31
557;Laptop Max Azul;Alimentos y Logística del Sur;15;1106.83
558;Smartphone Vintage Negro;Alimentos y Logística del Sur;15;1130.6
559;Camiseta Ergonómico Negro;Hogar y Confort Ltda.;12;21.51
560;Chaqueta Ergonómico Gris;Comercializadora Omega;20;140.11
561;Monitor Ergonómico Gris;Alimentos y Logística del Sur;15;163.9
562;Laptop Portátil Gris;Alimentos y Logística del Sur;15;1155.13
563;Lámpara Advanced Silver;Global Imports Corp;5;36.92
564;Lámpara Vintage Silver;Alimentos y Logística del Sur;15;20.35
565;Smartphone Ergonómico Gris;Global Imports Corp;5;926.7
566;Cargador Basic Red;MegaAbasto Co.;25;17.63
567;Camiseta Premium Blanco;Distribución Express;3;27.77
568;Chaqueta Ultra Z3;Textiles del Norte;10;156.04
569;Mesa Max Silver;MegaAbasto Co.;25;151.93
570;Zapatillas Inalámbrico V2;Suministros Industriales Alfa;7;100.41
571;Reloj Smart X1;Comercializadora Omega;20;211.1
572;Licuadora Smart Z3;Global Imports Corp;5;109.63
573;Gorra Plus Red;Alimentos y Logística del Sur;15;27.47
574;Lámpara Max Z3;Alimentos y Logística del Sur;15;59.35
575;Termo Premium V2;Hogar y Confort Ltda.;12;22.11
576;Smartphone Inalámbrico V2;Textiles del Norte;10;899.52
577;Cafetera Modern Red;Hogar y Confort Ltda.;12;141.04
578;Licuadora Ergonómico Negro;Soluciones Tecnológicas Nova;8;80.31
579;Chaqueta Smart Azul;Suministros Industriales Alfa;7;38.8
580;Chaqueta Modern Azul;Suministros Industriales Alfa;7;39.78
581;Reloj Vintage Z3;Soluciones Tecnológicas Nova;8;209.44
582;Gorra Plus Negro;TechDistribuidora S.A.;14;13.79
583;Cafetera Portátil Gold;Alimentos y Logística del Sur;15;158.43
584;Lámpara Pro Gold;TechDistribuidora S.A.;14;34.82
585;Mochila Smart Gris;Soluciones Tecnológicas Nova;8;66.11
586;Licuadora Basic Z3;Alimentos y Logística del Sur;15;118.68
587;Cafetera Advanced Gris;TechDistribuidora S.A.;14;100.31
588;Gorra Basic Azul;Comercializadora Omega;20;27.84
589;Teclado Max Gris;TechDistribuidora S.A.;14;66.37
590;Auriculares Ultra Red;Hogar y Confort Ltda.;12;143.09
591;Monitor Inalámbrico X1;Suministros Industriales Alfa;7;247.47
592;Chaqueta Ultra Z3;Hogar y Confort Ltda.;12;49.32
593;Auriculares Eco Gris;MegaAbasto Co.;25;63.67
594;Cafetera Max Gold;Textiles del Norte;10;186.8
595;Lámpara Smart Azul;Textiles del Norte;10;22.8
596;Camiseta Eco Negro;TechDistribuidora S.A.;14;28.47
597;Zapatillas Inalámbrico Azul;Soluciones Tecnológicas Nova;8;125.05
598;Chaqueta Portátil Gold;Global Imports Corp;5;47.42
599;Silla Max Z3;TechDistribuidora S.A.;14;248.32
600;Mouse Modern Gold;Distribución Express;3;25.05
601;Monitor Pro X1;MegaAbasto Co.;25;250.59
602;Cargador Inalámbrico Red;Hogar y Confort Ltda.;12;29.91
603;Laptop Plus X1;Hogar y Confort Ltda.;12;1749.08
604;Reloj Modern X1;Soluciones Tecnológicas Nova;8;279.85
605;Cargador Max Gold;MegaAbasto Co.;25;17.15
606;Cafetera Inalámbrico Negro;Alimentos y Logística del Sur;15;106.24
607;Laptop Eco Blanco;Comercializadora Omega;20;756.75
608;Gorra Portátil Negro;Hogar y Confort Ltda.;12;29.58
609;Silla Ultra V2;Textiles del Norte;10;108.46
610;Smartphone Basic X1;Hogar y Confort Ltda.;12;428.6
611;Silla Ergonómico Negro;Distribución Express;3;108.83
612;Televisor Ultra Z3;Hogar y Confort Ltda.;12;732.92
613;Silla Smart V2;Suministros Industriales Alfa;7;112.86
614;Smartphone Eco X1;Soluciones Tecnológicas Nova;8;900.86
615;Mochila Basic V2;Distribución Express;3;67.66
616;Mochila Portátil V2;Soluciones Tecnológicas Nova;8;57.05
617;Laptop Inalámbrico Silver;MegaAbasto Co.;25;937.91
618;Teclado Advanced Gold;TechDistribuidora S.A.;14;32.62
619;Licuadora Max Azul;Textiles del Norte;10;117.98
620;Smartphone Inalámbrico Azul;Global Imports Corp;5;728.63
621;Auriculares Ergonómico Silver;Alimentos y Logística del Sur;15;35.66
622;Monitor Vintage Negro;Global Imports Corp;5;235.43
623;Termo Smart Negro;MegaAbasto Co.;25;16.2
624;Zapatillas Ultra Z3;Global Imports Corp;5;64.22
625;Teclado Premium Silver;Hogar y Confort Ltda.;12;43.11
626;Mochila Plus Z3;Alimentos y Logística del Sur;15;70.2
627;Reloj Smart Red;Global Imports Corp;5;221.36
628;Teclado Inalámbrico Blanco;Distribución Express;3;86.38
629;Televisor Plus X1;TechDistribuidora S.A.;14;326.36
630;Smartphone Ultra Gold;Hogar y Confort Ltda.;12;1124.76
631;Teclado Inalámbrico Gold;Suministros Industriales Alfa;7;25.23
632;Camiseta Modern Negro;Global Imports Corp;5;34.91
633;Zapatillas Premium Azul;Distribución Express;3;83.56
634;Reloj Basic Gold;TechDistribuidora S.A.;14;220.85
635;Televisor Modern Z3;Global Imports Corp;5;423.21
636;Lámpara Plus Silver;MegaAbasto Co.;25;56.06
637;Auriculares Ergonómico Z3;Comercializadora Omega;20;93.89
638;Chaqueta Inalámbrico Z3;MegaAbasto Co.;25;142.11
639;Gorra Inalámbrico Gold;Distribución Express;3;12.72
640;Zapatillas Inalámbrico X1;Hogar y Confort Ltda.;12;94.07
641;Mochila Modern V2;Comercializadora Omega;20;67.61
642;Auriculares Plus X1;Suministros Industriales Alfa;7;59.36
643;Termo Basic Silver;TechDistribuidora S.A.;14;17.85
644;Zapatillas Plus Negro;MegaAbasto Co.;25;80.76
645;Televisor Advanced Z3;Distribución Express;3;842.84
646;Termo Ultra X1;Global Imports Corp;5;28.66
647;Smartphone Ergonómico Azul;TechDistribuidora S.A.;14;1082.53
648;Cafetera Eco Z3;Global Imports Corp;5;142.05
649;Auriculares Advanced Silver;Alimentos y Logística del Sur;15;79.15
650;Mouse Eco Silver;Soluciones Tecnológicas Nova;8;61.43
651;Monitor Modern Red;Global Imports Corp;5;413.75
652;Mochila Ergonómico Red;Global Imports Corp;5;26.53
653;Mesa Modern Azul;Comercializadora Omega;20;388.33
654;Termo Premium Negro;Alimentos y Logística del Sur;15;34.8
655;Reloj Modern V2;Comercializadora Omega;20;115.19
656;Teclado Portátil Blanco;TechDistribuidora S.A.;14;38.86
657;Chaqueta Ergonómico V2;Comercializadora Omega;20;45.85
658;Camiseta Vintage Gold;Alimentos y Logística del Sur;15;37.17
659;Cargador Vintage Negro;Soluciones Tecnológicas Nova;8;29.81
660;Mesa Ergonómico Negro;Distribución Express;3;221.34
661;Zapatillas Basic Gris;Suministros Industriales Alfa;7;85.89
662;Lámpara Pro Azul;Suministros Industriales Alfa;7;25.65
663;Monitor Ergonómico V2;Global Imports Corp;5;178.09
664;Reloj Plus Gold;Hogar y Confort Ltda.;12;137.89
665;Termo Inalámbrico X1;Textiles del Norte;10;11.43
666;Licuadora Ultra Silver;Comercializadora Omega;20;110.68
667;Cafetera Smart X1;Distribución Express;3;45.24
668;Zapatillas Inalámbrico Negro;Suministros Industriales Alfa;7;122.68
669;Smartphone Modern Gris;TechDistribuidora S.A.;14;1173.74
670;Licuadora Ultra V2;Suministros Industriales Alfa;7;65.67
671;Smartphone Ultra Negro;Distribución Express;3;909.7
672;Teclado Basic V2;Suministros Industriales Alfa;7;33.09
673;Mesa Smart V2;Global Imports Corp;5;146.54
674;Mochila Smart Azul;Textiles del Norte;10;21.78
675;Televisor Vintage Gold;Alimentos y Logística del Sur;15;744.5
676;Lámpara Eco Blanco;Textiles del Norte;10;25.49
677;Silla Portátil Red;Distribución Express;3;185.33
678;Termo Basic Gold;Suministros Industriales Alfa;7;37.46
679;Zapatillas Smart Blanco;Hogar y Confort Ltda.;12;87.46
680;Mesa Pro Negro;Suministros Industriales Alfa;7;265.33
681;Cargador Vintage V2;Distribución Express;3;30.16
682;Laptop Smart V2;Suministros Industriales Alfa;7;1309.37
683;Zapatillas Inalámbrico X1;TechDistribuidora S.A.;14;71.12
684;Lámpara Portátil Negro;Global Imports Corp;5;44.32
685;Mouse Ultra Z3;Suministros Industriales Alfa;7;46.89
686;Cargador Pro V2;Suministros Industriales Alfa;7;22.22
687;Mouse Ergonómico V2;Suministros Industriales Alfa;7;31.25
688;Reloj Advanced Blanco;Alimentos y Logística del Sur;15;225.79
689;Termo Ultra Negro;Textiles del Norte;10;30.49
690;Teclado Portátil X1;Alimentos y Logística del Sur;15;22.1
691;Lámpara Modern X1;Global Imports Corp;5;75.87
692;Mochila Smart Gold;Textiles del Norte;10;71.31
693;Mesa Pro Negro;Comercializadora Omega;20;277.55
694;Silla Pro Negro;TechDistribuidora S.A.;14;86.17
695;Reloj Ultra Azul;MegaAbasto Co.;25;244.18
696;Monitor Pro Gold;Global Imports Corp;5;222.84
697;Auriculares Modern X1;Hogar y Confort Ltda.;12;103.0
698;Mochila Pro V2;Alimentos y Logística del Sur;15;64.35
699;Mochila Ultra Azul;Hogar y Confort Ltda.;12;38.51
700;Auriculares Basic Gris;MegaAbasto Co.;25;129.02
701;Cargador Smart Negro;Suministros Industriales Alfa;7;26.58
702;Monitor Ergonómico V2;Hogar y Confort Ltda.;12;145.06
703;Auriculares Smart Red;Suministros Industriales Alfa;7;131.84
704;Silla Basic Red;Distribución Express;3;72.87
705;Chaqueta Max Silver;Global Imports Corp;5;110.19
706;Mesa Inalámbrico X1;MegaAbasto Co.;25;105.01
707;Gorra Smart Silver;MegaAbasto Co.;25;12.87
708;Cargador Eco V2;Hogar y Confort Ltda.;12;19.18
709;Mesa Advanced Gold;Comercializadora Omega;20;191.44
710;Termo Smart Red;Comercializadora Omega;20;39.72
711;Chaqueta Eco Z3;Suministros Industriales Alfa;7;103.15
712;Mesa Portátil Gris;Hogar y Confort Ltda.;12;126.73
713;Laptop Advanced V2;Global Imports Corp;5;1344.88
714;Zapatillas Pro Red;MegaAbasto Co.;25;107.88
715;Zapatillas Eco Silver;Distribución Express;3;56.81
716;Reloj Advanced X1;Comercializadora Omega;20;94.09
717;Zapatillas Modern Silver;Comercializadora Omega;20;76.84
718;Smartphone Advanced Azul;Comercializadora Omega;20;674.88
719;Mouse Max Z3;Distribución Express;3;33.99
720;Chaqueta Inalámbrico Red;Hogar y Confort Ltda.;12;146.41
721;Mesa Modern Z3;Distribución Express;3;357.12
722;Gorra Eco Z3;Global Imports Corp;5;25.59
723;Camiseta Portátil Azul;Distribución Express;3;22.99
724;Gorra Plus V2;TechDistribuidora S.A.;14;12.5
725;Cafetera Eco Gold;Comercializadora Omega;20;48.37
726;Chaqueta Basic Silver;Alimentos y Logística del Sur;15;149.52
727;Mochila Premium Red;Comercializadora Omega;20;59.16
728;Termo Vintage Negro;Suministros Industriales Alfa;7;39.23
729;Televisor Vintage V2;Comercializadora Omega;20;344.38
730;Mochila Ergonómico Negro;Soluciones Tecnológicas Nova;8;33.29
731;Termo Ergonómico Z3;Alimentos y Logística del Sur;15;14.37
732;Mesa Basic X1;Alimentos y Logística del Sur;15;387.13
733;Monitor Premium Silver;Suministros Industriales Alfa;7;212.84
734;Cargador Pro X1;Distribución Express;3;28.57
735;Teclado Plus Red;Global Imports Corp;5;35.5
736;Auriculares Vintage Z3;MegaAbasto Co.;25;136.42
737;Laptop Eco Blanco;MegaAbasto Co.;25;1121.31
738;Televisor Modern X1;Textiles del Norte;10;440.34
739;Mochila Advanced X1;TechDistribuidora S.A.;14;34.15
740;Silla Vintage Blanco;MegaAbasto Co.;25;130.23
741;Silla Basic X1;Alimentos y Logística del Sur;15;227.33
742;Televisor Inalámbrico Negro;Textiles del Norte;10;762.44
743;Televisor Vintage X1;Textiles del Norte;10;393.72
744;Mouse Portátil Blanco;Textiles del Norte;10;38.34
745;Lámpara Plus Red;Hogar y Confort Ltda.;12;15.51
746;Mouse Basic Blanco;TechDistribuidora S.A.;14;42.12
747;Termo Ultra Blanco;Textiles del Norte;10;33.6
748;Reloj Ultra Negro;Comercializadora Omega;20;212.44
749;Mouse Inalámbrico Silver;Suministros Industriales Alfa;7;64.85
750;Gorra Ergonómico Gris;Comercializadora Omega;20;20.15
751;Cargador Portátil Gris;Comercializadora Omega;20;25.19
752;Chaqueta Max V2;Suministros Industriales Alfa;7;124.16
753;Televisor Premium Silver;Hogar y Confort Ltda.;12;377.73
754;Laptop Modern X1;Alimentos y Logística del Sur;15;1981.64
755;Camiseta Inalámbrico Z3;Comercializadora Omega;20;45.13
756;Licuadora Portátil Blanco;Comercializadora Omega;20;118.41
757;Chaqueta Premium Red;Soluciones Tecnológicas Nova;8;167.84
758;Televisor Basic Gold;MegaAbasto Co.;25;389.91
759;Chaqueta Eco Z3;Hogar y Confort Ltda.;12;64.02
760;Cafetera Eco Gold;MegaAbasto Co.;25;77.15
761;Laptop Smart Negro;Comercializadora Omega;20;999.34
762;Mouse Ultra Negro;Suministros Industriales Alfa;7;65.01
763;Camiseta Ultra Silver;Global Imports Corp;5;21.27
764;Cargador Portátil Blanco;TechDistribuidora S.A.;14;30.72
765;Laptop Advanced Blanco;Distribución Express;3;1459.39
766;Gorra Plus Silver;Textiles del Norte;10;20.08
767;Termo Vintage Azul;MegaAbasto Co.;25;30.55
768;Laptop Basic Z3;Comercializadora Omega;20;1390.55
769;Camiseta Premium Red;Textiles del Norte;10;40.02
770;Mochila Modern Z3;Alimentos y Logística del Sur;15;79.87
771;Smartphone Premium Azul;Comercializadora Omega;20;629.64
772;Monitor Inalámbrico Blanco;Hogar y Confort Ltda.;12;211.88
773;Termo Basic Negro;Comercializadora Omega;20;28.71
774;Monitor Eco Azul;Comercializadora Omega;20;364.07
775;Laptop Ergonómico Z3;Suministros Industriales Alfa;7;606.15
776;Auriculares Smart Blanco;Distribución Express;3;30.92
777;Smartphone Advanced Blanco;Global Imports Corp;5;716.98
778;Teclado Vintage Red;Soluciones Tecnológicas Nova;8;76.35
779;Lámpara Eco V2;MegaAbasto Co.;25;61.16
780;Cafetera Pro Red;Alimentos y Logística del Sur;15;112.41
781;Mouse Premium Azul;Global Imports Corp;5;62.93
782;Mouse Plus Silver;Global Imports Corp;5;69.51
783;Lámpara Ultra X1;Hogar y Confort Ltda.;12;75.71
784;Monitor Modern V2;Hogar y Confort Ltda.;12;186.37
785;Mesa Eco Silver;Global Imports Corp;5;104.1
786;Smartphone Advanced Red;TechDistribuidora S.A.;14;784.06
787;Laptop Plus Z3;TechDistribuidora S.A.;14;830.85
788;Gorra Max X1;Hogar y Confort Ltda.;12;26.38
789;Smartphone Premium X1;Global Imports Corp;5;933.18
790;Cargador Ultra Red;MegaAbasto Co.;25;27.93
791;Reloj Ergonómico Negro;Global Imports Corp;5;216.25
792;Chaqueta Advanced Blanco;Suministros Industriales Alfa;7;96.27
793;Lámpara Advanced Gold;MegaAbasto Co.;25;25.0
794;Auriculares Ergonómico Negro;Global Imports Corp;5;36.07
795;Gorra Portátil Z3;TechDistribuidora S.A.;14;20.1
796;Teclado Max Silver;Hogar y Confort Ltda.;12;35.25
797;Lámpara Max Negro;Hogar y Confort Ltda.;12;73.56
798;Reloj Ergonómico Silver;Soluciones Tecnológicas Nova;8;228.0
799;Auriculares Eco Red;MegaAbasto Co.;25;107.5
800;Lámpara Ultra Gold;Distribución Express;3;66.81
801;Cargador Portátil Blanco;Soluciones Tecnológicas Nova;8;14.13
802;Camiseta Modern Silver;MegaAbasto Co.;25;48.87
803;Teclado Max Silver;Distribución Express;3;80.28
804;Mouse Ultra Silver;Global Imports Corp;5;12.06
805;Lámpara Ultra Z3;Textiles del Norte;10;34.16
806;Teclado Plus Negro;Hogar y Confort Ltda.;12;25.72
807;Laptop Portátil Negro;MegaAbasto Co.;25;620.14
808;Televisor Eco Blanco;Hogar y Confort Ltda.;12;564.03
809;Laptop Pro X1;Suministros Industriales Alfa;7;1031.9
810;Mesa Modern Silver;Alimentos y Logística del Sur;15;268.0
811;Silla Ergonómico Negro;Distribución Express;3;197.02
812;Auriculares Basic Gris;Comercializadora Omega;20;76.67
813;Mochila Smart Negro;Soluciones Tecnológicas Nova;8;23.99
814;Auriculares Ultra X1;TechDistribuidora S.A.;14;71.72
815;Laptop Inalámbrico V2;MegaAbasto Co.;25;702.53
816;Cafetera Max Negro;Distribución Express;3;168.71
817;Termo Inalámbrico Red;TechDistribuidora S.A.;14;10.75
818;Camiseta Basic Gris;Alimentos y Logística del Sur;15;44.1
819;Licuadora Basic Z3;MegaAbasto Co.;25;116.03
820;Zapatillas Eco Silver;Suministros Industriales Alfa;7;60.68
821;Chaqueta Modern V2;Comercializadora Omega;20;112.32
822;Mouse Max Blanco;TechDistribuidora S.A.;14;27.23
823;Licuadora Vintage Gris;Global Imports Corp;5;52.06
824;Smartphone Max Blanco;Distribución Express;3;342.75
825;Silla Pro Silver;Comercializadora Omega;20;162.06
826;Mouse Plus Gris;TechDistribuidora S.A.;14;65.17
827;Chaqueta Basic Gold;Alimentos y Logística del Sur;15;173.54
828;Cargador Pro X1;Suministros Industriales Alfa;7;22.31
829;Licuadora Advanced V2;Alimentos y Logística del Sur;15;44.9
830;Termo Basic Azul;MegaAbasto Co.;25;17.3
831;Smartphone Pro Z3;Soluciones Tecnológicas Nova;8;330.91
832;Zapatillas Max Gris;TechDistribuidora S.A.;14;97.11
833;Silla Advanced Gris;MegaAbasto Co.;25;162.63
834;Mouse Portátil Blanco;Soluciones Tecnológicas Nova;8;41.17
835;Gorra Smart Red;Global Imports Corp;5;24.6
836;Chaqueta Plus Negro;Distribución Express;3;42.04
837;Reloj Max Blanco;MegaAbasto Co.;25;202.17
838;Lámpara Max X1;MegaAbasto Co.;25;64.47
839;Cargador Advanced X1;Soluciones Tecnológicas Nova;8;15.61
840;Monitor Modern Silver;Soluciones Tecnológicas Nova;8;171.98
841;Mesa Ergonómico Gris;Textiles del Norte;10;127.55
842;Teclado Basic Gris;Distribución Express;3;74.69
843;Cafetera Inalámbrico X1;TechDistribuidora S.A.;14;46.88
844;Licuadora Pro Negro;Comercializadora Omega;20;52.97
845;Chaqueta Ergonómico Blanco;Suministros Industriales Alfa;7;161.54
846;Mouse Ultra Z3;Soluciones Tecnológicas Nova;8;47.24
847;Licuadora Portátil Blanco;Global Imports Corp;5;62.29
848;Smartphone Smart Gold;TechDistribuidora S.A.;14;598.93
849;Mesa Inalámbrico Z3;Alimentos y Logística del Sur;15;350.38
850;Camiseta Eco X1;Soluciones Tecnológicas Nova;8;30.47
851;Mesa Max Silver;MegaAbasto Co.;25;389.0
852;Licuadora Premium Red;Alimentos y Logística del Sur;15;63.02
853;Mochila Vintage Gris;TechDistribuidora S.A.;14;47.11
854;Laptop Ergonómico Silver;Hogar y Confort Ltda.;12;1617.54
855;Televisor Vintage Blanco;Alimentos y Logística del Sur;15;752.49
856;Laptop Max Negro;Comercializadora Omega;20;923.55
857;Zapatillas Inalámbrico V2;TechDistribuidora S.A.;14;124.03
858;Silla Eco Blanco;Soluciones Tecnológicas Nova;8;150.06
859;Cargador Portátil Z3;Suministros Industriales Alfa;7;28.41
860;Mochila Eco Gris;TechDistribuidora S.A.;14;72.34
861;Mesa Eco V2;Distribución Express;3;224.54
862;Reloj Inalámbrico Blanco;Global Imports Corp;5;174.99
863;Televisor Smart Red;Soluciones Tecnológicas Nova;8;607.15
864;Camiseta Ergonómico Gris;TechDistribuidora S.A.;14;19.61
865;Chaqueta Pro Red;Soluciones Tecnológicas Nova;8;35.96
866;Mochila Max Silver;MegaAbasto Co.;25;78.23
867;Laptop Modern Z3;MegaAbasto Co.;25;858.6
868;Mesa Portátil Silver;Soluciones Tecnológicas Nova;8;189.8
869;Monitor Ultra Negro;Textiles del Norte;10;310.24
870;Zapatillas Ultra Azul;Hogar y Confort Ltda.;12;76.09
871;Monitor Modern Negro;Distribución Express;3;157.31
872;Mesa Modern Blanco;Hogar y Confort Ltda.;12;120.09
873;Camiseta Vintage Blanco;Soluciones Tecnológicas Nova;8;19.94
874;Teclado Ultra Z3;Comercializadora Omega;20;60.35
875;Teclado Inalámbrico V2;TechDistribuidora S.A.;14;54.77
876;Termo Vintage Gold;Comercializadora Omega;20;20.18
877;Reloj Vintage Red;TechDistribuidora S.A.;14;208.49
878;Mesa Ultra Gold;Alimentos y Logística del Sur;15;347.17
879;Monitor Ergonómico X1;Comercializadora Omega;20;239.14
880;Teclado Vintage V2;Comercializadora Omega;20;56.25
881;Monitor Ergonómico Z3;Global Imports Corp;5;367.85
882;Chaqueta Modern Z3;Suministros Industriales Alfa;7;92.15
883;Camiseta Max V2;Alimentos y Logística del Sur;15;40.97
